uid,gid,timestamp,energy,puzzle_id,prefix,rank
721943,0,1502187340,-150.7473,2003996,bid,0
839070,0,1502079050,-67.54594,2003996,bid,52
5643,0,1502057151,-86.03775,2003996,bid,35
66182,0,1502129645,-89.12116,2003996,bid,28
509847,0,1501934902,-98.08064,2003996,bid,20
736167,0,1501902203,-86.38747,2003996,bid,33
539438,0,1502058143,-80.90995,2003996,bid,40
421749,997144,1501991888,-35.17371,2003996,bid,61
108474,985857,1502081254,-110.3629,2003996,bid,12
847621,184617,1501756869,-96.86638,2003996,bid,22
755429,0,1502181239,-94.52174,2003996,bid,23
104378,0,1501642732,67.00296,2003996,bid,67
556421,0,1502157458,-103.2691,2003996,bid,16
398223,257965,1502036939,-115.9297,2003996,bid,8
716281,0,1501809967,-112.2614,2003996,bid,9
193227,0,1502030111,-52.83459,2003996,bid,57
263916,0,1502026591,-97.81483,2003996,bid,21
121748,63194,1501933217,51.51266,2003996,bid,66
482875,991825,1501710693,-105.8037,2003996,bid,15
21864,0,1502100317,-121.1736,2003996,bid,6
476462,993077,1502139811,-142.013,2003996,bid,2
115604,986996,1502159845,-84.1484,2003996,bid,38
142870,0,1501886836,-94.07872,2003996,bid,24
187914,0,1501875031,-41.74903,2003996,bid,58
700056,0,1501770013,-83.86384,2003996,bid,39
465801,0,1502037722,-99.66558,2003996,bid,19
848285,0,1501895339,17.70518,2003996,bid,64
478703,0,1501644207,-71.99645,2003996,bid,48
739870,2000733,1502048287,-72.41746,2003996,bid,47
165718,0,1501897912,-65.4048,2003996,bid,54
848311,0,1502181075,145.8203,2003996,bid,69
26988,0,1502003915,-68.8058,2003996,bid,50
184667,0,1501791368,-73.72636,2003996,bid,45
702396,0,1501810099,-41.14803,2003996,bid,59
513977,0,1502166349,-110.2113,2003996,bid,13
524200,0,1501705423,-66.44737,2003996,bid,53
126983,0,1501865722,-85.50624,2003996,bid,37
410052,0,1502046721,-101.5595,2003996,bid,17
4034,55400,1501966628,855.726,2003996,bid,70
510372,0,1501787259,-53.59157,2003996,bid,56
142342,0,1501783453,-38.66062,2003996,bid,60
797617,0,1502154465,-112.124,2003996,bid,11
715929,0,1501805524,-85.86572,2003996,bid,36
389721,988042,1502134435,-126.5601,2003996,bid,4
288912,2003867,1502122412,-118.0256,2003996,bid,7
236506,0,1501642703,-90.78894,2003996,bid,27
843905,0,1501888092,-100.6803,2003996,bid,18
802852,0,1501660125,-71.37193,2003996,bid,49
465750,0,1501694819,-86.06801,2003996,bid,34
827248,0,1501803298,-68.45604,2003996,bid,51
75434,548027,1502123918,-127.5587,2003996,bid,3
468278,0,1501712181,-80.51088,2003996,bid,42
846908,0,1501733783,-5.815892,2003996,bid,63
808620,0,1502137168,-112.219,2003996,bid,10
266444,0,1501822986,-92.78167,2003996,bid,26
452090,0,1502001488,-59.26748,2003996,bid,55
462205,987632,1502055565,-147.3301,2003996,bid,1
732760,0,1502183031,-78.0428,2003996,bid,44
847567,0,1501786580,-29.23007,2003996,bid,62
842741,0,1502187090,-109.1333,2003996,bid,14
784452,0,1502039644,-93.17706,2003996,bid,25
422041,0,1501977561,-80.77536,2003996,bid,41
341144,0,1501786843,-79.05034,2003996,bid,43
57839,0,1502117404,-86.85016,2003996,bid,32
846825,2003915,1502127338,21.55792,2003996,bid,65
779697,0,1501889766,-125.4322,2003996,bid,5
233638,0,1501746326,-73.21367,2003996,bid,46
360760,61909,1501758913,-88.09198,2003996,bid,30
572137,0,1501687105,-87.52289,2003996,bid,31
790265,0,1501641593,113.522,2003996,bid,68
829611,0,1502127895,-88.70989,2003996,bid,29
